66.62	59.87	92.06
-132.18	123.59	57.69
463.83	-2.99	153.99
-31.96	34.38	66.01
101.12	10.1	226.21
-127.96	62.25	205.9
-26.96	-110.94	210.38
39.59	-34.1	-75.88
19.28	-50.27	189.05
-101.6	18.97	14.28
-78.3	14.98	30.85
324.29	33.27	88.91
-146.81	-1.21	55.2
129.63	16.99	-43.16
190.36	9.07	52.54
200.66	-6.81	68.53
256.78	11.2	-115.9
-11.18	60.32	53.05
-70.99	30.94	172.99
123.91	-63.8	-49.61
16.86	39.26	52.03
-235.75	-13.55	-0.09
-149.61	-22.33	166.69
263.7	-9.6	184.8
-31.01	-30.74	137.56
-229.34	-6.94	8.57
21.59	-3.78	36.32
565.6	7.29	91.74
165.56	27.75	64.11
225.15	46.59	-87.81
88.65	-22.52	-33.88
-314.16	-35.38	198.49
501.01	84.15	-36.59
227.04	86.14	68.73
373.5	-96.36	17.84
-58.67	59.39	-32.23
-418.68	-20.62	-133.92
-18.03	31.02	47.13
339.78	56.09	-57.09
-60.07	63.47	110.59
397.3	-3.94	31.86
347.55	-18.34	2.85
109.3	37.27	-65.97
248.11	19.87	122.31
-65.39	15.33	216.44
85.25	-32.32	-35.63
-46.2	28.61	85.87
253.02	-8.78	-27.12
-64.69	-30.03	-93.67
203.18	-5.26	46.21
88.0	1.83	-38.25
-132.46	5.13	268.79
-54.6	45.35	-85.57
-88.16	101.38	30.87
-244.71	-53.59	-118.34
54.52	51.98	266.55
47.29	82.55	125.91
-73.23	-32.32	114.11
-130.11	22.39	-95.76
476.29	-16.52	-7.61
-113.83	67.03	36.67
61.34	31.7	57.74
-87.47	-37.08	-74.28
192.4	76.92	-121.16
-350.56	54.96	4.1
353.9	26.33	48.93
33.41	79.23	180.49
-30.79	-10.17	98.22
-101.13	-34.96	33.24
-229.48	-11.32	29.28
-56.75	37.63	93.65
69.06	-58.09	33.88
58.18	37.2	181.26
-119.16	59.75	151.88
-82.46	-69.8	-228.11
149.35	-23.71	190.6
133.83	113.88	115.96
261.59	-41.51	-58.5
81.18	-53.11	80.31
-46.91	15.02	203.04
-56.37	-58.46	-156.9
-92.73	134.34	122.96
158.22	99.32	24.46
-152.12	75.74	2.87
-119.67	-47.77	112.72
97.67	-37.66	124.47
144.1	-40.98	33.49
